Category: All categories

Week,machine learning: (Worldwide)
2012-03-11,21
2012-03-18,20
2012-03-25,20
2012-04-01,19
2012-04-08,19
2012-04-15,19
2012-04-22,23
2012-04-29,22
2012-05-06,21
2012-05-13,19
2012-05-20,19
2012-05-27,19
2012-06-03,16
2012-06-10,17
2012-06-17,17
2012-06-24,19
2012-07-01,16
2012-07-08,18
2012-07-15,16
2012-07-22,19
2012-07-29,16
2012-08-05,18
2012-08-12,19
2012-08-19,21
2012-08-26,20
2012-09-02,22
2012-09-09,20
2012-09-16,24
2012-09-23,23
2012-09-30,20
2012-10-07,21
2012-10-14,23
2012-10-21,22
2012-10-28,20
2012-11-04,21
2012-11-11,22
2012-11-18,20
2012-11-25,22
2012-12-02,21
2012-12-09,21
2012-12-16,18
2012-12-23,16
2012-12-30,16
2013-01-06,20
2013-01-13,20
2013-01-20,20
2013-01-27,22
2013-02-03,21
2013-02-10,21
2013-02-17,21
2013-02-24,22
2013-03-03,22
2013-03-10,21
2013-03-17,21
2013-03-24,22
2013-03-31,20
2013-04-07,23
2013-04-14,20
2013-04-21,25
2013-04-28,24
2013-05-05,22
2013-05-12,23
2013-05-19,23
2013-05-26,21
2013-06-02,22
2013-06-09,21
2013-06-16,21
2013-06-23,21
2013-06-30,21
2013-07-07,21
2013-07-14,21
2013-07-21,21
2013-07-28,19
2013-08-04,19
2013-08-11,19
2013-08-18,20
2013-08-25,22
2013-09-01,22
2013-09-08,23
2013-09-15,23
2013-09-22,23
2013-09-29,26
2013-10-06,27
2013-10-13,28
2013-10-20,28
2013-10-27,28
2013-11-03,25
2013-11-10,27
2013-11-17,29
2013-11-24,26
2013-12-01,27
2013-12-08,27
2013-12-15,25
2013-12-22,19
2013-12-29,22
2014-01-05,26
2014-01-12,26
2014-01-19,26
2014-01-26,27
2014-02-02,26
2014-02-09,28
2014-02-16,29
2014-02-23,27
2014-03-02,30
2014-03-09,30
2014-03-16,27
2014-03-23,28
2014-03-30,31
2014-04-06,31
2014-04-13,30
2014-04-20,30
2014-04-27,27
2014-05-04,30
2014-05-11,28
2014-05-18,29
2014-05-25,26
2014-06-01,29
2014-06-08,27
2014-06-15,29
2014-06-22,28
2014-06-29,24
2014-07-06,28
2014-07-13,31
2014-07-20,30
2014-07-27,27
2014-08-03,28
2014-08-10,29
2014-08-17,30
2014-08-24,30
2014-08-31,31
2014-09-07,31
2014-09-14,32
2014-09-21,33
2014-09-28,32
2014-10-05,34
2014-10-12,36
2014-10-19,33
2014-10-26,34
2014-11-02,37
2014-11-09,36
2014-11-16,36
2014-11-23,33
2014-11-30,36
2014-12-07,36
2014-12-14,34
2014-12-21,27
2014-12-28,27
2015-01-04,36
2015-01-11,37
2015-01-18,36
2015-01-25,35
2015-02-01,38
2015-02-08,36
2015-02-15,36
2015-02-22,38
2015-03-01,39
2015-03-08,40
2015-03-15,37
2015-03-22,37
2015-03-29,39
2015-04-05,42
2015-04-12,44
2015-04-19,40
2015-04-26,42
2015-05-03,41
2015-05-10,41
2015-05-17,39
2015-05-24,38
2015-05-31,40
2015-06-07,42
2015-06-14,40
2015-06-21,41
2015-06-28,40
2015-07-05,41
2015-07-12,40
2015-07-19,42
2015-07-26,41
2015-08-02,40
2015-08-09,39
2015-08-16,42
2015-08-23,41
2015-08-30,43
2015-09-06,47
2015-09-13,46
2015-09-20,46
2015-09-27,47
2015-10-04,46
2015-10-11,52
2015-10-18,48
2015-10-25,51
2015-11-01,51
2015-11-08,59
2015-11-15,55
2015-11-22,50
2015-11-29,54
2015-12-06,54
2015-12-13,53
2015-12-20,43
2015-12-27,39
2016-01-03,52
2016-01-10,52
2016-01-17,58
2016-01-24,61
2016-01-31,57
2016-02-07,56
2016-02-14,55
2016-02-21,58
2016-02-28,59
2016-03-06,63
2016-03-13,63
2016-03-20,63
2016-03-27,64
2016-04-03,65
2016-04-10,65
2016-04-17,65
2016-04-24,64
2016-05-01,64
2016-05-08,62
2016-05-15,68
2016-05-22,67
2016-05-29,63
2016-06-05,66
2016-06-12,66
2016-06-19,67
2016-06-26,63
2016-07-03,63
2016-07-10,62
2016-07-17,64
2016-07-24,66
2016-07-31,65
2016-08-07,67
2016-08-14,66
2016-08-21,71
2016-08-28,72
2016-09-04,70
2016-09-11,73
2016-09-18,81
2016-09-25,82
2016-10-02,80
2016-10-09,79
2016-10-16,84
2016-10-23,83
2016-10-30,79
2016-11-06,78
2016-11-13,87
2016-11-20,83
2016-11-27,83
2016-12-04,88
2016-12-11,88
2016-12-18,78
2016-12-25,63
2017-01-01,80
2017-01-08,94
2017-01-15,90
2017-01-22,92
2017-01-29,93
2017-02-05,97
2017-02-12,98
2017-02-19,97
2017-02-26,100
2017-03-05,98
