Category: All categories

Week,mosquito: (Worldwide)
2012-03-11,36
2012-03-18,38
2012-03-25,37
2012-04-01,38
2012-04-08,36
2012-04-15,37
2012-04-22,37
2012-04-29,38
2012-05-06,41
2012-05-13,43
2012-05-20,51
2012-05-27,59
2012-06-03,49
2012-06-10,54
2012-06-17,58
2012-06-24,57
2012-07-01,62
2012-07-08,59
2012-07-15,57
2012-07-22,61
2012-07-29,57
2012-08-05,57
2012-08-12,67
2012-08-19,71
2012-08-26,59
2012-09-02,55
2012-09-09,47
2012-09-16,44
2012-09-23,43
2012-09-30,40
2012-10-07,33
2012-10-14,33
2012-10-21,33
2012-10-28,29
2012-11-04,30
2012-11-11,27
2012-11-18,27
2012-11-25,26
2012-12-02,26
2012-12-09,25
2012-12-16,23
2012-12-23,26
2012-12-30,25
2013-01-06,27
2013-01-13,27
2013-01-20,26
2013-01-27,27
2013-02-03,27
2013-02-10,35
2013-02-17,37
2013-02-24,37
2013-03-03,36
2013-03-10,41
2013-03-17,37
2013-03-24,36
2013-03-31,43
2013-04-07,49
2013-04-14,46
2013-04-21,43
2013-04-28,47
2013-05-05,48
2013-05-12,52
2013-05-19,57
2013-05-26,55
2013-06-02,59
2013-06-09,70
2013-06-16,73
2013-06-23,83
2013-06-30,89
2013-07-07,88
2013-07-14,87
2013-07-21,79
2013-07-28,71
2013-08-04,68
2013-08-11,63
2013-08-18,59
2013-08-25,56
2013-09-01,56
2013-09-08,47
2013-09-15,41
2013-09-22,40
2013-09-29,40
2013-10-06,37
2013-10-13,37
2013-10-20,33
2013-10-27,31
2013-11-03,30
2013-11-10,30
2013-11-17,30
2013-11-24,28
2013-12-01,28
2013-12-08,27
2013-12-15,26
2013-12-22,25
2013-12-29,26
2014-01-05,27
2014-01-12,28
2014-01-19,29
2014-01-26,29
2014-02-02,30
2014-02-09,30
2014-02-16,31
2014-02-23,33
2014-03-02,33
2014-03-09,36
2014-03-16,38
2014-03-23,37
2014-03-30,39
2014-04-06,45
2014-04-13,42
2014-04-20,45
2014-04-27,48
2014-05-04,49
2014-05-11,52
2014-05-18,59
2014-05-25,72
2014-06-01,80
2014-06-08,80
2014-06-15,80
2014-06-22,82
2014-06-29,84
2014-07-06,88
2014-07-13,79
2014-07-20,86
2014-07-27,77
2014-08-03,72
2014-08-10,62
2014-08-17,60
2014-08-24,58
2014-08-31,57
2014-09-07,54
2014-09-14,52
2014-09-21,56
2014-09-28,53
2014-10-05,48
2014-10-12,45
2014-10-19,41
2014-10-26,40
2014-11-02,38
2014-11-09,35
2014-11-16,34
2014-11-23,32
2014-11-30,31
2014-12-07,31
2014-12-14,28
2014-12-21,28
2014-12-28,31
2015-01-04,33
2015-01-11,32
2015-01-18,30
2015-01-25,31
2015-02-01,30
2015-02-08,34
2015-02-15,36
2015-02-22,39
2015-03-01,40
2015-03-08,46
2015-03-15,49
2015-03-22,52
2015-03-29,50
2015-04-05,51
2015-04-12,55
2015-04-19,52
2015-04-26,53
2015-05-03,58
2015-05-10,61
2015-05-17,64
2015-05-24,73
2015-05-31,76
2015-06-07,82
2015-06-14,73
2015-06-21,83
2015-06-28,92
2015-07-05,92
2015-07-12,79
2015-07-19,76
2015-07-26,71
2015-08-02,66
2015-08-09,65
2015-08-16,65
2015-08-23,63
2015-08-30,57
2015-09-06,55
2015-09-13,52
2015-09-20,54
2015-09-27,50
2015-10-04,45
2015-10-11,46
2015-10-18,41
2015-10-25,40
2015-11-01,40
2015-11-08,41
2015-11-15,40
2015-11-22,41
2015-11-29,45
2015-12-06,51
2015-12-13,44
2015-12-20,39
2015-12-27,43
2016-01-03,43
2016-01-10,43
2016-01-17,55
2016-01-24,89
2016-01-31,100
2016-02-07,78
2016-02-14,84
2016-02-21,87
2016-02-28,87
2016-03-06,83
2016-03-13,76
2016-03-20,62
2016-03-27,70
2016-04-03,73
2016-04-10,72
2016-04-17,72
2016-04-24,63
2016-05-01,62
2016-05-08,63
2016-05-15,63
2016-05-22,76
2016-05-29,88
2016-06-05,85
2016-06-12,76
2016-06-19,80
2016-06-26,79
2016-07-03,82
2016-07-10,73
2016-07-17,80
2016-07-24,78
2016-07-31,89
2016-08-07,78
2016-08-14,75
2016-08-21,79
2016-08-28,87
2016-09-04,77
2016-09-11,68
2016-09-18,66
2016-09-25,57
2016-10-02,60
2016-10-09,55
2016-10-16,52
2016-10-23,51
2016-10-30,48
2016-11-06,42
2016-11-13,41
2016-11-20,39
2016-11-27,40
2016-12-04,37
2016-12-11,35
2016-12-18,33
2016-12-25,36
2017-01-01,37
2017-01-08,38
2017-01-15,37
2017-01-22,38
2017-01-29,37
2017-02-05,39
2017-02-12,41
2017-02-19,45
2017-02-26,42
2017-03-05,45
