CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
669513821,11/30/16,18:00:00,11/30/16,18:15:00,12/1/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESTAURANT/DINER,,,914928,125757,40.51158634,-74.24930373,"(40.511586338, -74.249303727)"
178661104,12/8/16,17:50:00,12/8/16,18:30:00,12/8/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,923162,134356,40.53524944,-74.21976956,"(40.53524944, -74.21976956)"
206173099,12/27/16,8:00:00,12/27/16,8:25:00,12/27/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,934770,136651,40.54162112,-74.17802592,"(40.541621116, -74.178025921)"
800669728,12/23/16,17:30:00,12/23/16,17:40:00,12/24/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,930551,139699,40.54996274,-74.19322964,"(40.549962741, -74.193229637)"
592450260,11/24/16,5:45:00,11/24/16,6:10:00,11/24/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,939139,139755,40.55016429,-74.16232739,"(40.550164291, -74.162327394)"
124558588,4/11/16,13:40:00,12/25/16,10:05:00,12/25/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,947161,142376,40.55739561,-74.13347571,"(40.557395605, -74.13347571)"
439937716,12/27/16,14:45:00,12/27/16,15:00:00,12/27/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,953298,143349,40.56008985,-74.11139462,"(40.560089845, -74.111394623)"
704067405,12/27/16,3:15:00,12/27/16,3:25:00,12/27/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,100,FRONT OF,BAR/NIGHT CLUB,,,1006591,143857,40.56151009,-73.91959669,"(40.561510089, -73.919596691)"
101780918,12/25/16,15:15:00,12/25/16,15:30:00,12/25/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,100,,STREET,,,1011395,144090,40.56213622,-73.90230628,"(40.562136224, -73.902306282)"
310211100,12/30/16,15:59:00,12/30/16,16:10:00,12/30/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,985690,147743,40.57220443,-73.99481808,"(40.57220443, -73.994818082)"
317523961,12/8/16,9:27:00,12/8/16,9:36:00,12/8/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,958600,148258,40.57358101,-74.09233189,"(40.573581014, -74.092331886)"
824399118,11/6/16,18:10:00,11/6/16,18:16:00,12/6/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,986229,148311,40.57376338,-73.99287776,"(40.573763375, -73.992877757)"
430184351,11/6/16,18:10:00,11/6/16,18:16:00,12/6/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,986229,148311,40.57376338,-73.99287776,"(40.573763375, -73.992877757)"
294828984,11/6/16,18:10:00,11/6/16,18:16:00,11/6/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,986229,148311,40.57376338,-73.99287776,"(40.573763375, -73.992877757)"
718514999,11/15/16,12:00:00,11/15/16,12:33:00,11/18/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,,,986229,148311,40.57376338,-73.99287776,"(40.573763375, -73.992877757)"
476863192,12/18/16,2:30:00,12/18/16,3:03:00,12/18/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,,,985600,148459,40.57416973,-73.9951419,"(40.574169725, -73.995141899)"
661548551,12/1/16,23:50:00,12/1/16,23:55:00,12/2/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,,986481,148626,40.57462793,-73.99197054,"(40.574627929, -73.991970544)"
345396999,12/24/16,0:10:00,12/24/16,0:25:00,12/24/16,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,60,INSIDE,RESIDENCE - PUBLIC HOUSING,,CONEY ISLAND I (SITE 1B),987828,148671,40.574751,-73.98712175,"(40.574751004, -73.987121747)"
391467405,12/8/16,16:00:00,12/8/16,16:15:00,12/8/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE-HOUSE,,,981845,148725,40.57489962,-74.00865871,"(40.574899618, -74.008658712)"
