Category: All categories

Week,research methods: (Worldwide)
2012-03-11,94
2012-03-18,90
2012-03-25,86
2012-04-01,83
2012-04-08,88
2012-04-15,97
2012-04-22,93
2012-04-29,95
2012-05-06,90
2012-05-13,85
2012-05-20,82
2012-05-27,67
2012-06-03,72
2012-06-10,73
2012-06-17,77
2012-06-24,66
2012-07-01,61
2012-07-08,64
2012-07-15,61
2012-07-22,62
2012-07-29,61
2012-08-05,61
2012-08-12,65
2012-08-19,71
2012-08-26,86
2012-09-02,90
2012-09-09,99
2012-09-16,97
2012-09-23,97
2012-09-30,99
2012-10-07,96
2012-10-14,92
2012-10-21,87
2012-10-28,83
2012-11-04,92
2012-11-11,86
2012-11-18,84
2012-11-25,82
2012-12-02,96
2012-12-09,88
2012-12-16,62
2012-12-23,35
2012-12-30,55
2013-01-06,87
2013-01-13,87
2013-01-20,89
2013-01-27,91
2013-02-03,96
2013-02-10,88
2013-02-17,91
2013-02-24,93
2013-03-03,91
2013-03-10,90
2013-03-17,93
2013-03-24,78
2013-03-31,80
2013-04-07,91
2013-04-14,93
2013-04-21,96
2013-04-28,90
2013-05-05,94
2013-05-12,82
2013-05-19,76
2013-05-26,63
2013-06-02,67
2013-06-09,72
2013-06-16,71
2013-06-23,67
2013-06-30,56
2013-07-07,58
2013-07-14,57
2013-07-21,59
2013-07-28,59
2013-08-04,56
2013-08-11,62
2013-08-18,69
2013-08-25,79
2013-09-01,83
2013-09-08,94
2013-09-15,96
2013-09-22,95
2013-09-29,99
2013-10-06,89
2013-10-13,89
2013-10-20,90
2013-10-27,84
2013-11-03,87
2013-11-10,85
2013-11-17,93
2013-11-24,83
2013-12-01,93
2013-12-08,88
2013-12-15,66
2013-12-22,35
2013-12-29,47
2014-01-05,78
2014-01-12,88
2014-01-19,93
2014-01-26,91
2014-02-02,93
2014-02-09,91
2014-02-16,88
2014-02-23,95
2014-03-02,97
2014-03-09,95
2014-03-16,91
2014-03-23,90
2014-03-30,91
2014-04-06,89
2014-04-13,84
2014-04-20,95
2014-04-27,95
2014-05-04,92
2014-05-11,82
2014-05-18,77
2014-05-25,74
2014-06-01,74
2014-06-08,80
2014-06-15,72
2014-06-22,69
2014-06-29,59
2014-07-06,60
2014-07-13,56
2014-07-20,56
2014-07-27,60
2014-08-03,61
2014-08-10,63
2014-08-17,68
2014-08-24,83
2014-08-31,92
2014-09-07,98
2014-09-14,97
2014-09-21,98
2014-09-28,93
2014-10-05,91
2014-10-12,95
2014-10-19,85
2014-10-26,92
2014-11-02,98
2014-11-09,99
2014-11-16,95
2014-11-23,87
2014-11-30,90
2014-12-07,88
2014-12-14,74
2014-12-21,38
2014-12-28,42
2015-01-04,75
2015-01-11,87
2015-01-18,86
2015-01-25,90
2015-02-01,91
2015-02-08,94
2015-02-15,87
2015-02-22,94
2015-03-01,96
2015-03-08,95
2015-03-15,94
2015-03-22,91
2015-03-29,82
2015-04-05,85
2015-04-12,92
2015-04-19,97
2015-04-26,97
2015-05-03,93
2015-05-10,89
2015-05-17,79
2015-05-24,67
2015-05-31,68
2015-06-07,70
2015-06-14,69
2015-06-21,68
2015-06-28,59
2015-07-05,58
2015-07-12,57
2015-07-19,57
2015-07-26,56
2015-08-02,59
2015-08-09,61
2015-08-16,67
2015-08-23,77
2015-08-30,87
2015-09-06,92
2015-09-13,99
2015-09-20,90
2015-09-27,93
2015-10-04,98
2015-10-11,95
2015-10-18,90
2015-10-25,85
2015-11-01,88
2015-11-08,89
2015-11-15,92
2015-11-22,82
2015-11-29,89
2015-12-06,93
2015-12-13,80
2015-12-20,41
2015-12-27,43
2016-01-03,77
2016-01-10,86
2016-01-17,89
2016-01-24,94
2016-01-31,93
2016-02-07,93
2016-02-14,85
2016-02-21,93
2016-02-28,91
2016-03-06,90
2016-03-13,91
2016-03-20,81
2016-03-27,83
2016-04-03,87
2016-04-10,96
2016-04-17,93
2016-04-24,89
2016-05-01,87
2016-05-08,84
2016-05-15,83
2016-05-22,76
2016-05-29,64
2016-06-05,69
2016-06-12,72
2016-06-19,60
2016-06-26,54
2016-07-03,47
2016-07-10,56
2016-07-17,59
2016-07-24,57
2016-07-31,60
2016-08-07,63
2016-08-14,63
2016-08-21,77
2016-08-28,83
2016-09-04,87
2016-09-11,87
2016-09-18,93
2016-09-25,96
2016-10-02,93
2016-10-09,92
2016-10-16,90
2016-10-23,85
2016-10-30,84
2016-11-06,90
2016-11-13,94
2016-11-20,81
2016-11-27,89
2016-12-04,88
2016-12-11,78
2016-12-18,51
2016-12-25,36
2017-01-01,59
2017-01-08,82
2017-01-15,85
2017-01-22,88
2017-01-29,87
2017-02-05,88
2017-02-12,88
2017-02-19,91
2017-02-26,95
2017-03-05,100
